,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
2326,31/08/2021,129000.0,40,2,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2327,24/08/2021,200000.0,70,3,-0.57285,47.480811,angers,49100,angers,-0.556221025,47.47665708,1.3357702155204374
2328,25/08/2021,280000.0,85,4,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2329,30/08/2021,320189.0,91,4,-0.585815,47.473967,angers,49000,angers,-0.556221025,47.47665708,2.2507207996676923
2330,12/08/2021,96000.0,33,2,-0.585521,47.474621,angers,49000,angers,-0.556221025,47.47665708,2.2201563998428893
2331,01/09/2021,217500.0,43,2,-0.567658,47.473554,angers,49100,angers,-0.556221025,47.47665708,0.9285788807801907
2332,30/08/2021,138000.0,31,1,-0.56948,47.475101,angers,49100,angers,-0.556221025,47.47665708,1.0142992556129915
2333,27/08/2021,99500.0,26,1,-0.56499,47.4812,angers,49100,angers,-0.556221025,47.47665708,0.8318434988591497
2334,19/08/2021,240935.0,34,1,-0.563343,47.485353,angers,49100,angers,-0.556221025,47.47665708,1.1058353286328697
2335,19/08/2021,240935.0,41,1,-0.563343,47.485353,angers,49100,angers,-0.556221025,47.47665708,1.1058353286328697
2336,06/09/2021,175000.0,71,4,-0.568211,47.480979,angers,49100,angers,-0.556221025,47.47665708,1.0235335475709675
2337,30/08/2021,185000.0,113,5,-0.586879,47.472859,angers,49000,angers,-0.556221025,47.47665708,2.3492506742084545
2338,26/08/2021,185000.0,49,2,-0.570187,47.470786,angers,49100,angers,-0.556221025,47.47665708,1.2387115345193884
2339,20/08/2021,170366.0,82,3,-0.581533,47.47401,angers,49000,angers,-0.556221025,47.47665708,1.93055187231512
2340,31/08/2021,240000.0,66,3,-0.561465,47.490577,angers,49100,angers,-0.556221025,47.47665708,1.5972883411174066
2341,02/09/2021,153000.0,47,2,-0.55188,47.485648,angers,49100,angers,-0.556221025,47.47665708,1.0517962513434096
2342,31/08/2021,154400.0,68,4,-0.604494,47.46008,angers,49000,angers,-0.556221025,47.47665708,4.079323014546512
2343,01/09/2021,262000.0,95,4,-0.561465,47.490577,angers,49100,angers,-0.556221025,47.47665708,1.5972883411174066
2344,03/09/2021,137000.0,40,2,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2345,17/08/2021,159000.0,76,3,-0.598781,47.468172,angers,49000,angers,-0.556221025,47.47665708,3.344119633317948
2346,02/09/2021,430000.0,92,3,-0.56266,47.473175,angers,49100,angers,-0.556221025,47.47665708,0.6208513097458707
2347,27/08/2021,145000.0,73,3,-0.565609,47.481815,angers,49100,angers,-0.556221025,47.47665708,0.9107995089210896
2348,31/08/2021,185000.0,68,3,-0.567305,47.48624,angers,49100,angers,-0.556221025,47.47665708,1.3538971272832343
2349,31/08/2021,145000.0,87,4,-0.615476,47.461679,angers,49000,angers,-0.556221025,47.47665708,4.767392365528186
2350,24/08/2021,216000.0,82,4,-0.566919,47.476873,angers,49100,angers,-0.556221025,47.47665708,0.8067363997077308
2351,27/08/2021,137500.0,38,2,-0.568836,47.47352,angers,49100,angers,-0.556221025,47.47665708,1.0128532451281271
2352,27/08/2021,156000.0,42,2,-0.559863,47.473989,angers,49100,angers,-0.556221025,47.47665708,0.4041773751794353
2353,07/09/2021,145000.0,42,2,-0.577492,47.479528,angers,49100,angers,-0.556221025,47.47665708,1.6347615514824336
2354,30/08/2021,255000.0,80,4,-0.563553,47.474393,angers,49100,angers,-0.556221025,47.47665708,0.6072986581879368
2355,15/09/2021,341250.0,94,4,-0.562838,47.475622,angers,49100,angers,-0.556221025,47.47665708,0.5118762782815202
2356,15/09/2021,99500.0,29,1,-0.564455,47.483699,angers,49100,angers,-0.556221025,47.47665708,0.9990617659822325
2357,10/09/2021,214000.0,70,3,-0.560639,47.490556,angers,49100,angers,-0.556221025,47.47665708,1.5807518949673116
2358,15/09/2021,148400.0,62,3,-0.596054,47.47269,angers,49000,angers,-0.556221025,47.47665708,3.0348227881726313
