code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
7,2020,800000,Angers,44,2,329,-0.561674,47.476662
7,2020,800000,Angers,35,2,329,-0.561674,47.476662
7,2020,800000,Angers,39,2,329,-0.561674,47.476662
7,2020,800000,Angers,41,1,329,-0.561674,47.476662
7,2020,800000,Angers,30,2,329,-0.561674,47.476662
7,2020,800000,Angers,39,2,329,-0.561674,47.476662
7,2020,800000,Angers,38,2,329,-0.561674,47.476662
7,2020,800000,Angers,40,2,329,-0.561674,47.476662
7,2020,165770,Angers,80,3,181,-0.564281,47.482948
7,2020,165770,Angers,25,1,181,-0.564281,47.482948
7,2020,293000,Angers,27,2,66,-0.56334,47.479928
7,2020,293000,Angers,29,2,66,-0.56334,47.479928
7,2020,293000,Angers,48,3,66,-0.56334,47.479928
7,2020,370000,Angers,90,4,263,-0.589002,47.475929
7,2020,750000,Angers,40,2,70,-0.563883,47.478037
7,2020,750000,Angers,35,2,70,-0.563883,47.478037
7,2020,750000,Angers,85,3,254,-0.564022,47.477977
7,2020,750000,Angers,25,2,254,-0.564022,47.477977
7,2020,750000,Angers,80,3,254,-0.564022,47.477977
7,2020,750000,Angers,50,2,254,-0.564022,47.477977
7,2020,750000,Angers,88,5,254,-0.564022,47.477977
7,2020,320000,Angers,23,1,147,-0.563632,47.477405
7,2020,320000,Angers,34,1,147,-0.563632,47.477405
7,2020,320000,Angers,41,1,147,-0.563632,47.477405
7,2020,320000,Angers,37,1,147,-0.563632,47.477405
7,2020,320000,Angers,12,1,147,-0.563632,47.477405
7,2020,320000,Angers,26,1,147,-0.563632,47.477405
7,2020,320000,Angers,23,1,147,-0.563632,47.477405
7,2020,320000,Angers,43,1,147,-0.563632,47.477405
7,2020,320000,Angers,26,1,147,-0.563632,47.477405
7,2020,70000,Angers,100,6,14,-0.560696,47.479838
7,2020,55000,Angers,100,6,15,-0.560696,47.479838
7,2020,370000,Angers,43,2,427,-0.550817,47.489525
7,2020,370000,Angers,43,2,427,-0.550817,47.489525
7,2020,370000,Angers,21,1,427,-0.550817,47.489525
7,2020,370000,Angers,43,2,427,-0.550817,47.489525
7,2020,300000,Angers,231,8,103,-0.570522,47.473581
7,2020,100000,Angers,72,3,123,-0.561974,47.473561
7,2020,100000,Angers,105,5,123,-0.561974,47.473561
7,2020,620000,Angers,43,2,76,-0.561593,47.474942
7,2020,620000,Angers,39,2,76,-0.561593,47.474942
7,2020,620000,Angers,45,2,76,-0.561593,47.474942
8,2020,90000,Argentré,38,2,85,-0.640504,48.084358
8,2020,90000,Argentré,37,1,85,-0.640504,48.084358
8,2020,90000,Argentré,42,2,85,-0.640504,48.084358
9,2020,175000,Arnage,57,2,803,0.170527,47.910321
9,2020,175000,Arnage,57,2,639,0.170527,47.910321
9,2020,175000,Arnage,49,2,639,0.170527,47.910321
9,2020,175000,Arnage,49,2,803,0.170527,47.910321
9,2020,350000,Arnage,53,2,436,0.183727,47.925978
10,2020,50000,Aron,35,1,636,-0.557675,48.29686
10,2020,50000,Aron,30,2,636,-0.557675,48.29686
11,2020,147000,Assérac,40,2,610,-2.423123,47.45983
11,2020,147000,Assérac,38,2,610,-2.423123,47.45983
11,2020,147000,Assérac,39,2,610,-2.423123,47.45983
11,2020,90000,Assérac,98,5,85,-2.390506,47.429046
12,2020,135000,Astillé,43,2,1232,-0.85344,47.962052
12,2020,135000,Astillé,60,2,1232,-0.85344,47.962052
13,2020,136000,Aubigné-Racan,85,4,632,0.268695,47.690982
13,2020,136000,Aubigné-Racan,60,3,632,0.268695,47.690982
13,2020,120000,Aubigné-Racan,40,2,848,0.265489,47.691693
13,2020,120000,Aubigné-Racan,67,3,848,0.265489,47.691693
14,2020,42000,Bais,21,1,39,-0.363449,48.251249
14,2020,42000,Bais,21,1,39,-0.363449,48.251249
14,2020,63000,Bais,12,0,18,-0.362274,48.251095
15,2020,203180,Barbâtre,45,3,158,-2.184039,46.945119
15,2020,286300,Barbâtre,35,2,351,-2.182925,46.943519
15,2020,286300,Barbâtre,40,2,351,-2.182925,46.943519
15,2020,286300,Barbâtre,35,1,351,-2.182925,46.943519
16,2020,625000,Basse-Goulaine,59,2,184,-1.463699,47.209703
16,2020,625000,Basse-Goulaine,43,2,184,-1.463699,47.209703
16,2020,625000,Basse-Goulaine,59,2,184,-1.463699,47.209703
17,2020,120000,Batz-sur-Mer,50,2,91,-2.478881,47.277272
18,2020,103000,Baugé-en-Anjou,25,1,144,-0.102974,47.540101
18,2020,103000,Baugé-en-Anjou,70,3,144,-0.102974,47.540101
18,2020,103000,Baugé-en-Anjou,25,1,144,-0.102974,47.540101
18,2020,103000,Baugé-en-Anjou,40,2,144,-0.102974,47.540101
18,2020,103000,Baugé-en-Anjou,40,2,144,-0.102974,47.540101
18,2020,69000,Baugé-en-Anjou,70,3,132,-0.105546,47.544054
18,2020,69000,Baugé-en-Anjou,50,3,132,-0.105546,47.544054
18,2020,34500,Baugé-en-Anjou,50,2,69,-0.170845,47.551688
18,2020,34500,Baugé-en-Anjou,55,2,69,-0.170845,47.551688
18,2020,190000,Baugé-en-Anjou,32,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,32,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,38,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,38,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,32,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,30,1,418,-0.101458,47.538208
18,2020,190000,Baugé-en-Anjou,34,1,418,-0.101458,47.538208
19,2020,250000,Bazoges-en-Paillers,240,7,350,-1.131921,46.908346
20,2020,290000,Beaucouzé,117,4,881,-0.654088,47.459633
20,2020,290000,Beaucouzé,38,2,881,-0.654088,47.459633
20,2020,900000,Beaucouzé,65,3,1421,-0.619737,47.470813
21,2020,100000,Beaufort-en-Anjou,52,3,125,-0.220701,47.44041
21,2020,100000,Beaufort-en-Anjou,50,3,125,-0.220701,47.44041
21,2020,130000,Beaufort-en-Anjou,39,2,340,-0.216772,47.438524
21,2020,130000,Beaufort-en-Anjou,39,2,340,-0.216772,47.438524
21,2020,188000,Beaufort-en-Anjou,58,3,391,-0.21983,47.440119
21,2020,188000,Beaufort-en-Anjou,53,3,391,-0.21983,47.440119
21,2020,188000,Beaufort-en-Anjou,66,3,391,-0.21983,47.440119
21,2020,225000,Beaufort-en-Anjou,47,1,138,-0.214726,47.439831
21,2020,100000,Beaufort-en-Anjou,65,5,334,-0.21673,47.441192
22,2020,90000,Beaulieu-sous-la-Roche,86,3,85,-1.610347,46.676118
23,2020,160000,Beaupréau-en-Mauges,52,2,116,-0.993142,47.199872
23,2020,160000,Beaupréau-en-Mauges,72,4,116,-0.993142,47.199872
23,2020,160000,Beaupréau-en-Mauges,77,3,116,-0.993142,47.199872
23,2020,180000,Beaupréau-en-Mauges,45,2,70,-0.86415,47.195702
23,2020,180000,Beaupréau-en-Mauges,79,3,70,-0.86415,47.195702
23,2020,180000,Beaupréau-en-Mauges,38,2,70,-0.86415,47.195702
23,2020,180000,Beaupréau-en-Mauges,76,3,70,-0.86415,47.195702
23,2020,51500,Beaupréau-en-Mauges,30,1,73,-0.99377,47.202056
23,2020,195000,Beaupréau-en-Mauges,40,3,266,-0.868681,47.195935
23,2020,195000,Beaupréau-en-Mauges,70,3,266,-0.868681,47.195935
23,2020,195000,Beaupréau-en-Mauges,65,3,266,-0.868681,47.195935
23,2020,41000,Beaupréau-en-Mauges,23,1,38,-0.86864,47.196244
23,2020,41000,Beaupréau-en-Mauges,26,1,38,-0.86864,47.196244
